cpg_id,company
5332f5fbe4b03c9a25efd0ba,Starbucks
559c2234e4b06aca36af13c6,J.L. Kraft
5a734034e4b0d58f376be874,Campbell's Home Style
5332f5f2e4b03c9a25efd0aa,MorningStar
5d5d4fd16d5f3b23d1bc7905,Entertainment Weekly
5332f5f6e4b03c9a25efd0b4,ST. IVES
55b62995e4b0d8e685c14213,Chris Image Test
53e10d6368abd3c7065097cc,Bottled Starbucks
5e9f12f5be37ce3e45b6a77e,PopUp Brand A
5332f5f3e4b03c9a25efd0ae,Gold Medal
5332f7a7e4b03c9a25efd134,Stella Artois
55a41b4be4b0d0a65b3692ee,NessAlla
5e28b81cee7f2d697e835bcd,Soft-Sheen Carson - Hair Color
5eebc5412455c97a877ef382,Pinesol
5332f7ffe4b03c9a25efd16b,Danimals
5fb6d381be37ce522e165cbd,Absolut速 Grapefruit
5459429be4b0bfcb1e864082,Top Care
59b96571e4b0bf7c7980588b,SIMILAC
5f58fa84be37ce21f1287c0f,Gerber Baby Food
5f036ccc2455c947fde9362f,OneTouch速
5332fa12e4b03c9a25efd1e7,Brew Pub
5e7cf838f221c312e698a628,Sargento速 Cheese
5f10c05cbe37ce238c6cabaf,FINISH速
5e5ea9cc9c50da1291a6d074,COUNTRY CROCK PLANT BUTTER
5332f734e4b03c9a25efd104,Johnsonville
5332fa58e4b03c9a25efd215,Tombstone
5c76dd1095144c5375687b51,DASH-2249 1 brand 1
5d66b9dcee7f2d201c7281cd,Health Magazine
55a41a91e4b0d0a65b3692ec,RPs
537b7ec2892471241348d709,Cedar Crest
540f215de4b09fb9af4b49f1,Prairie Farms
53501d2ab9237fd7718f9e1a,Palermo
55a58719e4b0d0a65b3693cc,Nature's Bakery
53501d2ab9237fd7718f9e18,Emils
5332f712e4b03c9a25efd0f9,Kemps
5c6d516795144c607914426e,alexa-o's
5ea07defbe37ce3e45b6a780,Show this Brand A
56462469e4b0c05761111936,Frito Lay
